Wed Mar 16 07:52:20 2016
t avgfit avgtime bestfit
15 92.2 0.717928533333 96.0
20 217.0 3.0176494 246.0
25 276.6 3.73112646667 336.0
30 306.0 4.65355723333 348.0
35 351.6 5.6350593 402.0
40 385.0 6.7100816 444.0
45 415.2 7.9008922 462.0
50 447.2 8.85618643333 504.0
55 485.0 9.9967916 528.0
60 488.2 11.0708412667 600.0
65 522.8 12.7025810667 660.0
70 543.4 13.4533442 642.0
75 565.2 14.7202421 654.0
80 573.8 15.7129869667 690.0
