Wed Mar 16 04:46:28 2016
t avgfit avgtime bestfit
15 118.5 0.429837733333 120.0
20 173.166666667 0.698288 200.0
25 195.166666667 1.02177853333 230.0
30 242.0 1.23690446667 265.0
35 280.666666667 1.44459873333 300.0
40 330.0 1.67612116667 375.0
45 343.5 1.81466273333 375.0
